id,title,description,category,subcategory,location,severity,source,source_id,start_time,end_time,created_at,is_active
1765378346871,"Significant flooding reported after heavy rainfall in Jeddah, Saudi Arabia","Jeddah, Saudi Arabia has experienced heavy rainfall that has led to significant flooding and traffic congestion across the city. MORE..",weather,rainfall_alerts,Sri Lanka,medium,news,news_1765378346,2025-12-10T20:22:26.871355,2025-12-11T20:22:26.871366,2025-12-10T20:22:26.871500,True
1765378346879,Homeowners in landslide-prone areas provided with reports on risk level: NBRO,The National Building Research Organisation (NBRO) has extended landslide warnings issued to several areas based on current ground conditions and weather forecasts. MORE..,weather,landslides,Sri Lanka,medium,news,news_1765378346,2025-12-10T20:22:26.879675,2025-12-11T20:22:26.879685,2025-12-10T20:22:26.879822,True
1765378346892,H-1B visa appointments postponed for many Indians amid US Social Media rules,The US State Departments new social media vetting policy has triggered massive disruptions for H-1B visa applicants in India as many appointments have been postponed to next year. The US Embassy in India issued an advisory to the visa applicants on Tuesday night. MORE..,government,government_general,Sri Lanka,medium,news,news_1765378346,2025-12-10T20:22:26.892224,2025-12-11T20:22:26.892234,2025-12-10T20:22:26.892382,True
1765378348792,UAE continues to send aid to assist flood-hit Sri Lanka,The UAEs eight humanitarian aid aircraft has arrived in Sri Lanka on Tuesday in efforts to support the country following deadly floods and landslides. MORE..,weather,floods,Sri Lanka,high,news,news_1765378346866,2025-12-10T20:22:28.792839,2025-12-11T20:22:28.792880,2025-12-10T20:22:28.793389,True
1765378348884,Australia and UNFPA partner to protect women and girls in cyclone-affected Sri Lanka,"Australia and the United Nations Population Fund (UNFPA) have partnered to deliver urgent humanitarian assistance to protect women and girls across Sri Lanka, affected by catastrophic floods and landslides triggered by Cyclone Ditwah, one of the most devastating climate-related disasters to strike the island nation in recent years. MORE..",weather,floods,Sri Lanka,high,news,news_1765378346862,2025-12-10T20:22:28.884973,2025-12-11T20:22:28.884983,2025-12-10T20:22:28.885110,True
1765378348943,Notice on reopening preschools and early childhood development centers,All preschools and early childhood development centers that were closed due to the emergency disaster situation and are now deemed safe to resume operations will be reopened from 16 December 2025. MORE..,safety,rescue_operations,Sri Lanka,high,news,news_1765378346854,2025-12-10T20:22:28.943687,2025-12-11T20:22:28.943703,2025-12-10T20:22:28.943895,True
1765378628476,Notice on reopening preschools and early childhood development centers,All preschools and early childhood development centers that were closed due to the emergency disaster situation and are now deemed safe to resume operations will be reopened from 16 December 2025. MORE..,safety,rescue_operations,Sri Lanka,high,news,news_1765378628,2025-12-10T20:27:08.476900,2025-12-11T20:27:08.476924,2025-12-10T20:27:08.477468,True
1765378628484,Australia and UNFPA partner to protect women and girls in cyclone-affected Sri Lanka,"Australia and the United Nations Population Fund (UNFPA) have partnered to deliver urgent humanitarian assistance to protect women and girls across Sri Lanka, affected by catastrophic floods and landslides triggered by Cyclone Ditwah, one of the most devastating climate-related disasters to strike the island nation in recent years. MORE..",weather,floods,Sri Lanka,high,news,news_1765378628,2025-12-10T20:27:08.484521,2025-12-11T20:27:08.484529,2025-12-10T20:27:08.484622,True
1765378628493,UAE continues to send aid to assist flood-hit Sri Lanka,The UAEs eight humanitarian aid aircraft has arrived in Sri Lanka on Tuesday in efforts to support the country following deadly floods and landslides. MORE..,weather,floods,Sri Lanka,high,news,news_1765378628,2025-12-10T20:27:08.493579,2025-12-11T20:27:08.493606,2025-12-10T20:27:08.493918,True
1765378628501,"Significant flooding reported after heavy rainfall in Jeddah, Saudi Arabia","Jeddah, Saudi Arabia has experienced heavy rainfall that has led to significant flooding and traffic congestion across the city. MORE..",weather,rainfall_alerts,Sri Lanka,medium,news,news_1765378628,2025-12-10T20:27:08.501967,2025-12-11T20:27:08.501976,2025-12-10T20:27:08.502085,True
1765378628512,Homeowners in landslide-prone areas provided with reports on risk level: NBRO,The National Building Research Organisation (NBRO) has extended landslide warnings issued to several areas based on current ground conditions and weather forecasts. MORE..,weather,landslides,Sri Lanka,medium,news,news_1765378628,2025-12-10T20:27:08.512273,2025-12-11T20:27:08.512296,2025-12-10T20:27:08.512589,True
1765378628529,H-1B visa appointments postponed for many Indians amid US Social Media rules,The US State Departments new social media vetting policy has triggered massive disruptions for H-1B visa applicants in India as many appointments have been postponed to next year. The US Embassy in India issued an advisory to the visa applicants on Tuesday night. MORE..,government,government_general,Sri Lanka,medium,news,news_1765378628,2025-12-10T20:27:08.529428,2025-12-11T20:27:08.529447,2025-12-10T20:27:08.529550,True
1765378871080,UAE continues to send aid to assist flood-hit Sri Lanka,The UAEs eight humanitarian aid aircraft has arrived in Sri Lanka on Tuesday in efforts to support the country following deadly floods and landslides. MORE..,weather,floods,Sri Lanka,high,news,news_1765378628491,2025-12-10T20:31:11.080620,2025-12-11T20:31:11.080631,2025-12-10T20:31:11.080761,True
1765378871128,Australia and UNFPA partner to protect women and girls in cyclone-affected Sri Lanka,"Australia and the United Nations Population Fund (UNFPA) have partnered to deliver urgent humanitarian assistance to protect women and girls across Sri Lanka, affected by catastrophic floods and landslides triggered by Cyclone Ditwah, one of the most devastating climate-related disasters to strike the island nation in recent years. MORE..",weather,floods,Sri Lanka,high,news,news_1765378628482,2025-12-10T20:31:11.128676,2025-12-11T20:31:11.128685,2025-12-10T20:31:11.128806,True
